City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Puerto El Triunfo,13.2833,-88.55,80.6,74,0,5.75,SV,2021-03-27 01:21:52
140,Isangel,-19.55,169.2667,84.2,79,75,6.91,VU,2021-03-27 01:21:52
141,Saiha,22.4833,92.9667,69.44,33,68,3.33,IN,2021-03-27 01:21:53
142,Finote Selam,10.7,37.2667,63.18,20,94,2.19,ET,2021-03-27 01:21:53
143,Buarcos,40.166,-8.8768,52.0,93,0,2.3,PT,2021-03-27 01:21:53
144,Avarua,-21.2078,-159.775,84.2,65,2,12.66,CK,2021-03-27 01:21:53
145,Copiapó,-27.3667,-70.3333,57.2,82,90,5.75,CL,2021-03-27 01:21:54
146,Taksimo,56.3444,114.8794,25.86,89,100,2.26,RU,2021-03-27 01:21:54
147,Zhigansk,66.7697,123.3711,12.22,93,100,20.98,RU,2021-03-27 01:21:54
148,Laguna,38.421,-121.4238,73.4,15,1,10.36,US,2021-03-27 01:17:11
149,Kangaatsiaq,68.3065,-53.4641,-11.15,89,100,10.58,GL,2021-03-27 01:21:54
150,Kruisfontein,-34.0033,24.7314,62.01,75,1,8.86,ZA,2021-03-27 01:21:55
151,Tuatapere,-46.1333,167.6833,64.99,69,100,5.01,NZ,2021-03-27 01:21:55
152,Saint Paul Harbor,57.79,-152.4072,37.4,44,1,9.22,US,2021-03-27 01:21:55
153,Zelenogorskiy,55.0333,87.0,23.0,80,0,11.18,RU,2021-03-27 01:21:55
154,Krasnosel'kup,65.7,82.4667,7.43,95,27,10.27,RU,2021-03-27 01:21:55
155,Bredasdorp,-34.5322,20.0403,60.8,94,100,8.05,ZA,2021-03-27 01:21:56
156,Yārāda,17.65,83.2667,79.83,60,11,2.3,IN,2021-03-27 01:21:56
157,Rawson,-43.3002,-65.1023,59.72,65,9,8.01,AR,2021-03-27 01:21:56
158,Bathsheba,13.2167,-59.5167,77.0,65,40,21.85,BB,2021-03-27 01:21:57
159,Thompson,55.7435,-97.8558,21.2,86,90,10.36,CA,2021-03-27 01:21:57
160,Makakilo City,21.3469,-158.0858,84.2,69,40,8.05,US,2021-03-27 01:21:57
161,Kavieng,-2.5744,150.7967,83.5,74,82,12.59,PG,2021-03-27 01:21:57
162,São Borja,-28.6606,-56.0044,69.42,96,100,5.59,BR,2021-03-27 01:21:57
163,Pedasí,7.5333,-80.0333,80.94,71,68,18.63,PA,2021-03-27 01:21:58
164,Riverton,40.5219,-111.9391,45.0,65,1,9.22,US,2021-03-27 01:21:58
165,Lavrentiya,65.5833,-171.0,4.46,78,100,6.76,RU,2021-03-27 01:21:58
166,Tāndā,26.55,82.65,68.5,18,0,4.81,IN,2021-03-27 01:21:58
167,Ancud,-41.8697,-73.8203,53.01,81,0,2.3,CL,2021-03-27 01:21:59
168,Hasaki,35.7333,140.8333,61.0,47,75,4.61,JP,2021-03-27 01:21:59
169,Hazorasp,41.3194,61.0742,42.8,87,0,6.91,UZ,2021-03-27 01:21:59
170,Belmonte,-15.8631,-38.8828,78.8,69,0,5.75,BR,2021-03-27 01:21:59
171,West Bay,19.3667,-81.4167,80.6,78,20,9.22,KY,2021-03-27 01:22:00
172,Juneau,58.3019,-134.4197,39.2,81,90,9.22,US,2021-03-27 01:22:00
173,Krasnoarmiys'k,48.282,37.1758,34.61,88,88,5.19,UA,2021-03-27 01:22:00
174,Solnechnyy,50.7214,136.6319,33.66,72,100,4.25,RU,2021-03-27 01:22:00
175,Kedrovyy,56.1667,91.8167,26.6,74,40,8.95,RU,2021-03-27 01:22:01
176,Oddur,4.1213,43.8894,69.06,82,5,15.5,SO,2021-03-27 01:22:01
177,Batagay,67.6333,134.6333,6.39,87,100,5.19,RU,2021-03-27 01:22:01
178,Saldanha,-33.0117,17.9442,62.6,88,91,2.3,ZA,2021-03-27 01:22:01
179,Borzya,50.3833,116.5167,33.91,69,100,9.78,RU,2021-03-27 01:22:02
180,Gayéri,12.6497,0.4931,83.14,17,3,8.5,BF,2021-03-27 01:22:02
181,Rio Grande,-32.035,-52.0986,70.0,95,100,8.32,BR,2021-03-27 01:17:56
182,Kyzyl-Suu,42.3414,78.0056,41.99,92,100,3.96,KG,2021-03-27 01:22:02
183,Atlantic City,39.3643,-74.4229,66.2,42,1,21.85,US,2021-03-27 01:22:02
184,Buala,-8.145,159.5921,85.86,70,99,11.21,SB,2021-03-27 01:22:03
185,Esperance,-33.8667,121.9,69.8,52,0,10.36,AU,2021-03-27 01:22:03
186,Fortuna,40.5982,-124.1573,55.99,81,1,13.8,US,2021-03-27 01:22:03
187,Yar-Sale,66.8333,70.8333,2.48,93,84,12.55,RU,2021-03-27 01:22:03
188,Vieques,18.425,-65.8329,75.2,83,40,5.75,PR,2021-03-27 01:22:04
189,Bambous Virieux,-20.3428,57.7575,75.99,94,20,6.91,MU,2021-03-27 01:22:04
190,Falmouth,50.1544,-5.0711,42.8,81,20,24.16,GB,2021-03-27 01:22:04
191,Safi,32.2994,-9.2372,64.71,53,92,13.33,MA,2021-03-27 01:22:04
192,Huanren,41.2647,125.3667,49.53,51,100,6.6,CN,2021-03-27 01:22:04
193,Parrita,9.5201,-84.3225,75.2,64,40,10.36,CR,2021-03-27 01:22:05
194,Cochrane,51.1834,-114.4687,33.01,80,75,11.5,CA,2021-03-27 01:20:29
195,San Luis,-33.295,-66.3356,48.92,74,0,7.02,AR,2021-03-27 01:22:05
196,Lichinga,-13.3128,35.2406,64.0,94,75,6.91,MZ,2021-03-27 01:22:05
197,Arrondissement de Tarbes,43.25,0.1667,46.4,87,90,4.61,FR,2021-03-27 01:22:06
198,Kavaratti,10.5669,72.642,82.81,74,100,0.6,IN,2021-03-27 01:22:06
