City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,64,Anito,12.4497,125.2886,77.86,90,100,2.21,PH,2021-03-30 12:12:53
65,65,Huarmey,-10.0681,-78.1522,70.03,86,100,7.58,PE,2021-03-30 12:12:53
66,66,Hobyo,5.3505,48.5268,84.87,57,8,12.41,SO,2021-03-30 12:12:54
67,67,Stann Creek Town,16.9692,-88.2321,78.8,78,20,5.75,BZ,2021-03-30 12:12:54
68,68,Hong Kong,22.2855,114.1577,79.0,84,6,3.0,HK,2021-03-30 12:10:01
69,69,Thompson,55.7435,-97.8558,1.4,60,75,24.16,CA,2021-03-30 12:12:54
70,70,Ramnagar,29.4,79.1167,94.93,9,0,3.11,IN,2021-03-30 12:12:54
71,71,Grão Mogol,-16.5594,-42.8897,80.02,46,7,2.55,BR,2021-03-30 12:12:55
72,72,Dikson,73.5069,80.5464,-20.78,95,6,7.74,RU,2021-03-30 12:12:55
73,73,Tuy Hoa,13.0833,109.3,76.3,85,81,9.66,VN,2021-03-30 12:12:55
74,74,San Patricio,28.017,-97.5169,71.6,100,90,8.05,US,2021-03-30 12:12:56
75,75,Faanui,-16.4833,-151.75,81.46,74,59,9.75,PF,2021-03-30 12:12:56
76,76,Tual,-5.6667,132.75,83.71,74,100,9.28,ID,2021-03-30 12:09:14
77,77,Ilulissat,69.2167,-51.1,26.6,54,75,17.27,GL,2021-03-30 12:12:57
78,78,Road Town,18.4167,-64.6167,80.6,78,40,14.97,VG,2021-03-30 12:10:45
79,79,Baykit,61.67,96.37,15.8,81,100,9.1,RU,2021-03-30 12:12:57
80,80,Barrow,71.2906,-156.7887,-9.4,70,1,24.16,US,2021-03-30 12:08:40
81,81,Jamestown,42.097,-79.2353,39.99,48,1,11.1,US,2021-03-30 12:12:57
82,82,Hervey Bay,-25.2986,152.8535,70.0,84,51,1.01,AU,2021-03-30 12:12:58
83,83,Iqaluit,63.7506,-68.5145,-2.2,71,75,23.02,CA,2021-03-30 12:12:58
84,84,Esperance,-33.8667,121.9,87.8,18,72,6.91,AU,2021-03-30 12:12:58
85,85,New Norfolk,-42.7826,147.0587,59.0,68,32,1.99,AU,2021-03-30 12:12:58
86,86,Saskylakh,71.9167,114.0833,-27.15,99,98,6.38,RU,2021-03-30 12:12:59
87,87,Requena,39.4883,-1.1004,70.0,57,46,16.11,ES,2021-03-30 12:12:59
88,88,Cabo San Lucas,22.8909,-109.9124,66.99,33,89,1.99,MX,2021-03-30 12:12:59
89,89,Jadu,31.953000000000003,12.0261,68.11,17,6,8.9,LY,2021-03-30 12:13:00
90,90,Pangody,65.85,74.4859,-3.08,89,53,7.61,RU,2021-03-30 12:13:00
91,91,Camacha,33.0833,-16.3333,66.2,72,40,10.36,PT,2021-03-30 12:13:00
92,92,The Pas,53.8251,-101.2541,5.0,78,90,17.27,CA,2021-03-30 12:13:01
93,93,Māngrol,21.1167,70.1167,84.33,60,80,12.75,IN,2021-03-30 12:13:01
94,94,Cherskiy,68.75,161.3,-8.39,99,68,5.73,RU,2021-03-30 12:13:01
95,95,Nizwá,22.9333,57.5333,101.44,5,6,9.62,OM,2021-03-30 12:13:02
96,96,Kimberley,-28.7323,24.7623,84.2,24,0,3.44,ZA,2021-03-30 12:13:02
97,97,Petatlán,17.5167,-101.2667,71.98,50,53,3.62,MX,2021-03-30 12:13:02
98,98,Charter Township of Clinton,42.586999999999996,-82.9199,46.99,63,4,1.99,US,2021-03-30 12:13:03
99,99,Upernavik,72.7868,-56.1549,9.73,68,100,5.48,GL,2021-03-30 12:13:03
100,100,Mar del Plata,-38.0023,-57.5575,61.0,94,40,2.3,AR,2021-03-30 12:08:47
101,101,Hasaki,35.7333,140.8333,60.8,88,75,6.91,JP,2021-03-30 12:13:03
102,102,Straumen,63.8709,11.2999,46.4,57,40,26.46,NO,2021-03-30 12:13:04
103,103,Port Alfred,-33.5906,26.891,81.37,58,14,19.82,ZA,2021-03-30 12:13:04
104,104,Punta Alta,-38.8759,-62.0736,63.34,40,0,6.31,AR,2021-03-30 12:13:04
105,105,Portland,45.5234,-122.6762,34.0,74,1,0.63,US,2021-03-30 12:08:10
106,106,Lompoc,34.6391,-120.4579,46.4,93,11,6.46,US,2021-03-30 12:13:04
107,107,Río Gallegos,-51.6226,-69.2181,55.4,76,90,16.11,AR,2021-03-30 12:13:05
108,108,Kidal,18.4411,1.4078,90.32,5,0,14.79,ML,2021-03-30 12:13:05
109,109,Prescott,34.54,-112.4685,48.0,39,1,9.22,US,2021-03-30 12:11:47
110,110,Burns Lake,54.2331,-125.7533,19.4,93,95,1.14,CA,2021-03-30 12:13:05
